RACE,WEAPON,ELEMENT,ANIMAL,SPECIAL BODY PART,COLORS,OCCUPATION,SETTING,MISC,POS PERSONALITY,NUE PERSONALITY,NEG PERSONALITY,TROPE,LIKES / DISLIKES
,,,,,,ROAD SWEEPER,,,,,,,
,,,,,,AFFEEROR,,,,,,,
,,,,,,PRIVATEER,,,,,,,
,,,,,,VINTNER,,,,,,,
,,,,,,ARMORER,,,,,,,
,,,,,,SMUGGLER,,,,,,,
,,,,,,LEATHERWORKER,,,,,,,
,,,,,,INVENTOR,,,,,,,
,,,,,,BOAT BUILDER,,,,,,,
,,,,,,COPYIST,,,,,,,
,,,,,,CRIME BOSS,,,,,,,
,,,,,,TRAVELER/WANDERER/VAGABOND,,,,,,,
,,,,,,MODEL,,,,,,,
,,,,,,SURGEON/CHIRURGEON,,,,,,,
,,,,,,TEMPLAR,,,,,,,
,,,,,,FLOWER ARRANGER,,,,,,,
,,,,,,NOBLE/ARISTOCRAT,,,,,,,
,,,,,,METER READER,,,,,,,
,,,,,,PUBLICAN,,,,,,,
,,,,,,CHIROPRACTOR,,,,,,,
,,,,,,CIVIL SERVANT,,,,,,,
,,,,,,HANDYMAN,,,,,,,
,,,,,,TOOLMAKER,,,,,,,
,,,,,,PRINCE/PRINCESS,,,,,,,
,,,,,,CLERGYMAN,,,,,,,
,,,,,,DISC JOCKEY,,,,,,,
,,,,,,DOCTOR,,,,,,,
,,,,,,DISGRACED NOBLE,,,,,,,
,,,,,,GLADIATOR,,,,,,,
,,,,,,COUNCILLOR,,,,,,,
,,,,,,OPTOMETRIST,,,,,,,
,,,,,,FILM DIRECTOR,,,,,,,
,,,,,,SHOPFITTER,,,,,,,
,,,,,,ROOFER/THATCHER,,,,,,,
,,,,,,PSYCHOLOGIST,,,,,,,
,,,,,,LAMPLIGHTER,,,,,,,
,,,,,,BAR STAFF,,,,,,,
,,,,,,TELEVISION PRESENTER,,,,,,,
,,,,,,BARON/BARONESS,,,,,,,
,,,,,,WRESTLER,,,,,,,
,,,,,,URCHIN,,,,,,,
,,,,,,SURVEYOR,,,,,,,
,,,,,,INTELLIGENCE OFFICER,,,,,,,
,,,,,,CUSTOMS OFFICER,,,,,,,
,,,,,,HIGHWAYMAN,,,,,,,
,,,,,,RANGER,,,,,,,
,,,,,,BOUNCER,,,,,,,
,,,,,,FORKLIFT DRIVER,,,,,,,
,,,,,,BOOKKEEPER,,,,,,,
,,,,,,CHILDRENS ENTERTAINER,,,,,,,
,,,,,,RITUALIST,,,,,,,
,,,,,,TRAPPER,,,,,,,
,,,,,,WIZARD,,,,,,,
,,,,,,BALER,,,,,,,
,,,,,,ANIMAL/MONSTER HANDLER,,,,,,,
,,,,,,POISONER,,,,,,,
,,,,,,CHARIOTEER,,,,,,,
,,,,,,ELEMENTALIST,,,,,,,
,,,,,,ARCHITECT,,,,,,,
,,,,,,BREEDER,,,,,,,
,,,,,,CHARCOAL MAKER,,,,,,,
,,,,,,CHAUFFEUR,,,,,,,
,,,,,,COMPOSER OR SONGWRITER,,,,,,,
,,,,,,ANTHROPOLOGIST,,,,,,,
,,,,,,PARK-KEEPER,,,,,,,
,,,,,,SADDLER,,,,,,,
,,,,,,CHIROPODIST,,,,,,,
,,,,,,CONSTRUCTION WORKER,,,,,,,
,,,,,,PRISON OFFICER,,,,,,,
,,,,,,PROFESSOR,,,,,,,
,,,,,,FENCE,,,,,,,
,,,,,,SHERIFF,,,,,,,
,,,,,,MEDIUM,,,,,,,
,,,,,,JESTER,,,,,,,
,,,,,,HOUSEKEEPER,,,,,,,
,,,,,,TATTOOIST,,,,,,,
,,,,,,PLAYWRIGHT,,,,,,,
,,,,,,AROMATHERAPIST,,,,,,,
,,,,,,GLASSPAINTER,,,,,,,
,,,,,,SEAMSTRESS,,,,,,,
,,,,,,EMPEROR/EMPRESS,,,,,,,
,,,,,,BANK MANAGER,,,,,,,
,,,,,,BAKER,,,,,,,
,,,,,,GRAVE DIGGER,,,,,,,
,,,,,,TYPIST,,,,,,,
,,,,,,LIMNER,,,,,,,
,,,,,,CELEBRITY,,,,,,,
,,,,,,BRICKLAYER,,,,,,,
,,,,,,HAIRDRESSER,,,,,,,
,,,,,,NOBLE,,,,,,,
,,,,,,PROBATION OFFICER,,,,,,,
,,,,,,ACTUARY,,,,,,,
,,,,,,PRISONER,,,,,,,
,,,,,,WET NURSE,,,,,,,
,,,,,,BARMAID/BARBOY,,,,,,,
,,,,,,JACK OF ALL TRADES,,,,,,,
,,,,,,MONEYCHANGER,,,,,,,
,,,,,,PROPHET,,,,,,,
,,,,,,HYPNOTHERAPIST,,,,,,,
,,,,,,WARD,,,,,,,
,,,,,,ANIMAL COLLECTOR/MONSTER COLLECTOR,,,,,,,
,,,,,,PRINTER,,,,,,,
,,,,,,ESTATE AGENT,,,,,,,
,,,,,,CABINET MAKER,,,,,,,
,,,,,,TUTOR,,,,,,,
,,,,,,ARCHIVIST,,,,,,,
,,,,,,DRIVING INSTRUCTOR,,,,,,,
,,,,,,CLOWN,,,,,,,
,,,,,,SPORTS COACH,,,,,,,
,,,,,,PIMP/MADAME,,,,,,,
,,,,,,BEGGAR/PAUPER,,,,,,,
,,,,,,FLORIST,,,,,,,
,,,,,,COBBLER,,,,,,,
,,,,,,SHOEMAKER,,,,,,,
,,,,,,FURNITURE ARTISAN,,,,,,,
,,,,,,DUNGEON DELVER,,,,,,,
,,,,,,DEACON,,,,,,,
,,,,,,SCIENTIST,,,,,,,
,,,,,,ENCHANTER/ENCHANTRESS,,,,,,,
,,,,,,PHYSICIST,,,,,,,
,,,,,,MAYOR,,,,,,,
,,,,,,KNACKER,,,,,,,
,,,,,,BODYGUARD,,,,,,,
,,,,,,COUNSELLOR,,,,,,,
,,,,,,WARDEN,,,,,,,
,,,,,,DRESSMAKER,,,,,,,
,,,,,,LORRY DRIVER,,,,,,,
,,,,,,DESERTER,,,,,,,
,,,,,,TEACHING ASSISTANT,,,,,,,
,,,,,,SIEGE ARTILLERIST,,,,,,,
,,,,,,CONTORTIONIST,,,,,,,
,,,,,,OCCUPATIONAL THERAPIST,,,,,,,
,,,,,,GRAVE KEEPER,,,,,,,
,,,,,,CARPET FITTER,,,,,,,
,,,,,,BOATMAN,,,,,,,
,,,,,,BRICK MASON / BRICKLAYER / MASON,,,,,,,
,,,,,,ARTIFICER,,,,,,,
,,,,,,CLERIC,,,,,,,
,,,,,,LOAN SHARK,,,,,,,
,,,,,,DIPLOMAT,,,,,,,
,,,,,,SEA CAPTAIN,,,,,,,
,,,,,,AGISTER,,,,,,,
,,,,,,DATA PROCESSOR,,,,,,,
,,,,,,CHILDCARE WORKER,,,,,,,
,,,,,,BIOLOGIST,,,,,,,
,,,,,,DRAKOLOGIST,,,,,,,
,,,,,,MAKEUP ARTIST,,,,,,,
,,,,,,MUSICIAN,,,,,,,
,,,,,,WATER BEARER,,,,,,,
,,,,,,TANNER,,,,,,,
,,,,,,CLAIRVOYANT,,,,,,,
,,,,,,IT CONSULTANT,,,,,,,
,,,,,,DAIRY BOY/DAIRYMAID,,,,,,,
,,,,,,THIEF,,,,,,,
,,,,,,ILLUSTRATOR,,,,,,,
,,,,,,STABLEHAND,,,,,,,
,,,,,,CHEF,,,,,,,
,,,,,,MAGISTRATE,,,,,,,
,,,,,,CUTLER,,,,,,,
,,,,,,SOLDIER/MAN,,,,,,,
,,,,,,IMMIGRATION OFFICER,,,,,,,
,,,,,,DIVER,,,,,,,
,,,,,,NANNY,,,,,,,
,,,,,,RUNECASTER,,,,,,,
,,,,,,VENDOR,,,,,,,
,,,,,,FIREFIGHTER,,,,,,,
,,,,,,EMBALMER,,,,,,,
,,,,,,PAGE,,,,,,,
,,,,,,SLAYER,,,,,,,
,,,,,,HOMEMAKER,,,,,,,
,,,,,,CARTOGRAPHER,,,,,,,
,,,,,,EVOKER,,,,,,,
,,,,,,FISHERMAN/WOMAN,,,,,,,
,,,,,,BUILDER,,,,,,,
,,,,,,NANNY/NURSEMAID,,,,,,,
,,,,,,NURSE,,,,,,,
,,,,,,SCHOOL MEALS SUPERVISOR,,,,,,,
,,,,,,SLAVE,,,,,,,
,,,,,,LITERARY AGENT,,,,,,,
,,,,,,LAUNDRY WORKER,,,,,,,
,,,,,,ACROBAT,,,,,,,
,,,,,,SHEPHERD,,,,,,,
,,,,,,JOCKEY,,,,,,,
,,,,,,ASSASSIN,,,,,,,
,,,,,,DRUG DEALER,,,,,,,
,,,,,,SCULPTOR,,,,,,,
,,,,,,CITY WATCH,,,,,,,
,,,,,,CROUPIER,,,,,,,
,,,,,,FARMER,,,,,,,
,,,,,,QUARRYMAN/QUARRYWOMAN,,,,,,,
,,,,,,ACCOUNTANT,,,,,,,
,,,,,,COMMISSAR,,,,,,,
,,,,,,ABJURER,,,,,,,
,,,,,,BUTLER,,,,,,,
,,,,,,AERIALIST/TRAPEZIST,,,,,,,
,,,,,,PATHFINDER,,,,,,,
,,,,,,CONFESSOR,,,,,,,
,,,,,,CROSSING SWEEPER,,,,,,,
,,,,,,POSTMAN OR POSTWOMAN,,,,,,,
,,,,,,POTTER,,,,,,,
,,,,,,ACUPUNCTURIST,,,,,,,
,,,,,,LAWYER,,,,,,,
,,,,,,CIRCUS WORKER,,,,,,,
,,,,,,COMPUTER PROGRAMMER,,,,,,,
,,,,,,FITNESS INSTRUCTOR,,,,,,,
,,,,,,CHEMIST,,,,,,,
,,,,,,TRAVEL AGENT,,,,,,,
,,,,,,TEACHER,,,,,,,
,,,,,,DRUID,,,,,,,
,,,,,,TUNNER,,,,,,,
,,,,,,TORTURER,,,,,,,
,,,,,,KENNEL WORKER,,,,,,,
,,,,,,SINGER/SOPRANO,,,,,,,
,,,,,,GLOVE MAKER,,,,,,,
,,,,,,APPRENTICE,,,,,,,
,,,,,,MASTER,,,,,,,
,,,,,,DENTAL HYGIENIST,,,,,,,
,,,,,,ROOM ATTENDANT,,,,,,,
,,,,,,CLOCKMAKER,,,,,,,
,,,,,,FOOD & DRINK TASTER,,,,,,,
,,,,,,SOCIAL WORKER,,,,,,,
,,,,,,LOCAL GOVT WORKER,,,,,,,
,,,,,,ALMONER,,,,,,,
,,,,,,SEAMSTRESS/TAILOR,,,,,,,
,,,,,,TALENT SCOUT,,,,,,,
,,,,,,BUTCHER,,,,,,,
,,,,,,COASTGUARD,,,,,,,
,,,,,,NECROMANCER,,,,,,,
,,,,,,SOLDIER,,,,,,,
,,,,,,LABOURER,,,,,,,
,,,,,,GAS FITTER,,,,,,,
,,,,,,GENETICIST,,,,,,,
,,,,,,TOUR GUIDE,,,,,,,
,,,,,,GARDEN DESIGNER,,,,,,,
,,,,,,COSTUMER,,,,,,,
,,,,,,ACATER,,,,,,,
,,,,,,APPRAISER,,,,,,,
,,,,,,COUNT/EARL/COUNTESS,,,,,,,
,,,,,,BUSINESS CONSULTANT,,,,,,,
,,,,,,EMBROIDERER,,,,,,,
,,,,,,ROUSTABOUT,,,,,,,
,,,,,,ATHLETE,,,,,,,
,,,,,,REFUGEE,,,,,,,
,,,,,,FUNDRAISER,,,,,,,
,,,,,,PRINT MANAGER,,,,,,,
,,,,,,INSPECTION OFFICER,,,,,,,
,,,,,,REBEL/POLITICAL DISSIDENT,,,,,,,
,,,,,,FORGER,,,,,,,
,,,,,,GUILD MASTER,,,,,,,
,,,,,,CARTER,,,,,,,
,,,,,,WEAVER,,,,,,,
,,,,,,VISCOUNT/VISCOUNTESS,,,,,,,
,,,,,,NOTARY,,,,,,,
,,,,,,BISHOP,,,,,,,
,,,,,,CRANE DRIVER,,,,,,,
,,,,,,HERMIT,,,,,,,
,,,,,,LABORATORY TECHNICIAN,,,,,,,
,,,,,,MERCENARY,,,,,,,
,,,,,,BUG CATCHER,,,,,,,
,,,,,,BOSUN,,,,,,,
,,,,,,ART DEALER,,,,,,,
,,,,,,MEDICAL STUDENT,,,,,,,
,,,,,,HORTICULTURIST,,,,,,,
,,,,,,RINGMASTER/RINGMISTRESS,,,,,,,
,,,,,,JEWELER,,,,,,,
,,,,,,BLOODLETTER,,,,,,,
,,,,,,MEDIC,,,,,,,
,,,,,,BARKEEP,,,,,,,
,,,,,,SURGEON,,,,,,,
,,,,,,FUGITIVE,,,,,,,
,,,,,,DANCER,,,,,,,
,,,,,,COMPANY DIRECTOR,,,,,,,
,,,,,,AUDITOR,,,,,,,
,,,,,,ACCOUTREMENTS/COINSMITH,,,,,,,
,,,,,,MAKEUP ARTIST,,,,,,,
,,,,,,PRIVATE TUTOR,,,,,,,
,,,,,,JUDGE,,,,,,,
,,,,,,PLUMBER,,,,,,,
,,,,,,SCHOLAR/RESEARCHER,,,,,,,
,,,,,,BIOCHEMIST,,,,,,,
,,,,,,WRITER,,,,,,,
,,,,,,MERCER,,,,,,,
,,,,,,DENTAL NURSE,,,,,,,
,,,,,,REFUSE COLLECTOR,,,,,,,
,,,,,,LIGHTHOUSE KEEPER,,,,,,,
,,,,,,EXILE,,,,,,,
,,,,,,SHAMAN,,,,,,,
,,,,,,TAXIDERMIST,,,,,,,
,,,,,,GENERAL,,,,,,,
,,,,,,GROUNDSPERSON,,,,,,,
,,,,,,ROPEWALKER,,,,,,,
,,,,,,CARETAKER,,,,,,,
,,,,,,MIDWIFE,,,,,,,
,,,,,,DRUMMER/FIFER,,,,,,,
,,,,,,TELESALES PERSON,,,,,,,
,,,,,,GRAVEDIGGER,,,,,,,
,,,,,,ADMINISTRATOR,,,,,,,
,,,,,,ASSAY MASTER,,,,,,,
,,,,,,CARPENTER,,,,,,,
,,,,,,CANTOR,,,,,,,
,,,,,,PARDONER,,,,,,,
,,,,,,LIBRARIAN,,,,,,,
,,,,,,DECORATOR,,,,,,,
,,,,,,WINDOW CLEANER,,,,,,,
,,,,,,SAILOR,,,,,,,
,,,,,,AU PAIR,,,,,,,
,,,,,,RESTORER,,,,,,,
,,,,,,WARLOCK,,,,,,,
,,,,,,MODEL MAKER,,,,,,,
,,,,,,WITCH,,,,,,,
,,,,,,RUNNER,,,,,,,
,,,,,,FACTORY WORKER,,,,,,,
,,,,,,DUKE/DUCHESS,,,,,,,
,,,,,,POSTAL DELIVERY WORKER,,,,,,,
,,,,,,JOURNALIST,,,,,,,
,,,,,,BAGGAGE HANDLER,,,,,,,
,,,,,,GRAPHIC DESIGNER,,,,,,,
,,,,,,WELDER,,,,,,,
,,,,,,MONEYLENDER,,,,,,,
